,f1,precision,recall,run
fasttext_dim_20_epochs_100_ngrams_1_l_0.01,0.7395198853457542,0.7395198853457542,0.7395198853457542,"{'dim': 20, 'epochs': 100, 'ngrams': 1, 'l': 0.01}"
fasttext_dim_20_epochs_100_ngrams_1_l_0.05,0.6983160157649588,0.6983160157649588,0.6983160157649588,"{'dim': 20, 'epochs': 100, 'ngrams': 1, 'l': 0.05}"
fasttext_dim_20_epochs_100_ngrams_1_l_0.1,0.7013615191687567,0.7013615191687567,0.7013615191687567,"{'dim': 20, 'epochs': 100, 'ngrams': 1, 'l': 0.1}"
fasttext_dim_20_epochs_100_ngrams_1_l_0.2,0.6941956288068792,0.6941956288068792,0.6941956288068792,"{'dim': 20, 'epochs': 100, 'ngrams': 1, 'l': 0.2}"
fasttext_dim_20_epochs_100_ngrams_2_l_0.01,0.7495521318523827,0.7495521318523827,0.7495521318523827,"{'dim': 20, 'epochs': 100, 'ngrams': 2, 'l': 0.01}"
fasttext_dim_20_epochs_100_ngrams_2_l_0.05,0.7393407380867072,0.7393407380867073,0.7393407380867073,"{'dim': 20, 'epochs': 100, 'ngrams': 2, 'l': 0.05}"
fasttext_dim_20_epochs_100_ngrams_2_l_0.1,0.7522393407380867,0.7522393407380867,0.7522393407380867,"{'dim': 20, 'epochs': 100, 'ngrams': 2, 'l': 0.1}"
fasttext_dim_20_epochs_100_ngrams_2_l_0.2,0.7450734503762092,0.7450734503762092,0.7450734503762092,"{'dim': 20, 'epochs': 100, 'ngrams': 2, 'l': 0.2}"
fasttext_dim_20_epochs_100_ngrams_3_l_0.01,0.7671085632389825,0.7671085632389825,0.7671085632389825,"{'dim': 20, 'epochs': 100, 'ngrams': 3, 'l': 0.01}"
fasttext_dim_20_epochs_100_ngrams_3_l_0.05,0.757076316732354,0.757076316732354,0.757076316732354,"{'dim': 20, 'epochs': 100, 'ngrams': 3, 'l': 0.05}"
fasttext_dim_20_epochs_100_ngrams_3_l_0.1,0.7524184879971337,0.7524184879971336,0.7524184879971336,"{'dim': 20, 'epochs': 100, 'ngrams': 3, 'l': 0.1}"
fasttext_dim_20_epochs_100_ngrams_3_l_0.2,0.7422070942314584,0.7422070942314583,0.7422070942314583,"{'dim': 20, 'epochs': 100, 'ngrams': 3, 'l': 0.2}"
